1,1,"Oddelenie ústnej, čeľustnej a tvárovej chirurgie",196
2,1,Interné oddelenie,135
3,1,Alergologické oddelenie,196
4,1,Otorinolaryngologické oddelenie,115
5,1,Rádiologické oddelenie,141
6,1,Hematologické oddelenie,116
7,1,Fyziatricko-rehablitačné oddelenie,127
8,1,ARO,186
9,1,Oddelenie gastroenetrológie,146
10,1,Psychiatrické oddelenie,112
11,2,Kožné oddelenie,137
12,2,Oddelenie telovýchovného lekárstva,198
13,2,Fyziatricko-rehablitačné oddelenie,124
14,2,Neurochirurgické oddelenie,198
15,2,Oddelenie liečebnej výživy a stravovania,100
16,2,Psychiatrické oddelenie,188
17,2,Onkologické oddelenie,188
18,2,ARO,180
19,2,Oddelenie telovýchovného lekárstva,145
20,2,ARO,158
21,3,Fyziatricko-rehablitačné oddelenie,124
22,3,Otorinolaryngologické oddelenie,183
23,3,Oddelenie urológie,163
24,3,Detské oddelenie,154
25,3,Chirurgické oddelenie,182
26,3,Oddelenie gastroenetrológie,107
27,3,Oddelenie cievnej chirurgie,135
28,3,Nefrologické oddelenie,179
29,3,Oddelenie gastroenetrológie,130
30,3,Oddelenie plastickej chirurgie,142
31,4,Chirurgicko-traumatologické oddelenie,150
32,4,Neurologické oddelenie,117
33,4,Endokrinologické oddelenie,171
34,4,Psychiatrické oddelenie,100
35,4,Nefrologické oddelenie,185
36,4,"Oddelenie ústnej, čeľustnej a tvárovej chirurgie",172
37,4,Oddelenie plastickej chirurgie,108
38,4,Onkologické oddelenie,112
39,4,Oddelenie urológie,196
40,4,Alergologické oddelenie,139
41,5,Oddelenie cievnej chirurgie,116
42,5,Neurologické oddelenie,196
43,5,Endokrinologické oddelenie,146
44,5,Endokrinologické oddelenie,167
45,5,Oddelenie plastickej chirurgie,140
46,5,Detské oddelenie,171
47,5,ARO,142
48,5,Novorodenecké oddelenie,180
49,5,Psychiatrické oddelenie,144
50,5,ARO,123
51,6,Endokrinologické oddelenie,178
52,6,Nefrologické oddelenie,166
53,6,Gynegologicko-pôrodnícke oddelenie,184
54,6,Oddelenie dlhodobo chorých,197
55,6,Neurochirurgické oddelenie,198
56,6,Angiologické oddelenie,155
57,6,Nefrologické oddelenie,145
