1,2025-02-10 11:12:21.107000,2025-02-10 13:12:21.107000,Koncert,Rock Festival,5000,Bezpečnostné opatrenia prijaté
2,2025-02-10 11:12:21.810000,2025-02-10 14:12:21.810000,Športový zápas,Futbalový turnaj,15000,Zvýšená bezpečnosť
3,2025-02-10 11:12:22.450000,2025-02-10 15:12:22.450000,Mestská oslava,Deň mesta,2000,Rodinná atmosféra
954,2024-08-24 13:24:00.000000,2024-08-24 14:11:48.000000,Vzdelávacie podujatie,Hackathon pre študentov,128,Počas podujatia došlo k nepredvídaným komplikáciám.
955,2024-04-21 09:32:00.000000,2024-04-21 10:14:07.000000,Športové podujatie,Národný šachový turnaj,3943,Podujatie prebiehalo bez incidentov.
956,2024-11-03 11:48:00.000000,2024-11-03 12:30:57.000000,Kultúrne podujatie,Jazzový koncert v parku,1114,Nahlásené menšie technické problémy.
957,2024-03-25 12:53:00.000000,2024-03-25 13:39:14.000000,Kultúrne podujatie,Literárna noc v knižnici,361,Počas podujatia došlo k nepredvídaným komplikáciám.
958,2024-09-18 10:17:00.000000,2024-09-18 10:57:48.000000,Politické a spoločenské podujatie,Pochod za práva žien,2996,Nahlásené menšie technické problémy.
959,2024-11-22 12:57:00.000000,2024-11-22 13:44:17.000000,Kultúrne podujatie,Výstava súčasného umenia,436,Počas podujatia došlo k nepredvídaným komplikáciám.
960,2024-10-27 11:20:00.000000,2024-10-27 12:03:08.000000,Politické a spoločenské podujatie,Pochod za práva žien,1325,Z bezpečnostných dôvodov boli prijaté opatrenia.
961,2024-06-03 16:08:00.000000,2024-06-03 16:49:09.000000,Vzdelávacie podujatie,Konferencia o ochrane životného prostredia,489,Nahlásené menšie technické problémy.
962,2024-05-30 12:59:00.000000,2024-05-30 13:46:57.000000,Verejná akcia,Letný mestský piknik,242,Nahlásené menšie technické problémy.
963,2024-07-11 16:31:00.000000,2024-07-11 17:14:56.000000,Vzdelávacie podujatie,Kurz finančnej gramotnosti,137,Z bezpečnostných dôvodov boli prijaté opatrenia.
964,2025-02-10 10:47:00.000000,2025-02-10 11:31:58.000000,Politické a spoločenské podujatie,Verejná diskusia s prezidentom,2238,Z bezpečnostných dôvodov boli prijaté opatrenia.
965,2024-02-28 08:03:00.000000,2024-02-28 08:51:20.000000,Verejná akcia,Mestská diskusia so starostom,360,Z bezpečnostných dôvodov boli prijaté opatrenia.
966,2024-10-05 08:32:00.000000,2024-10-05 09:21:23.000000,Vopred nahlásené podujatie,Bežecký maratón mestom,720,"Veľký záujem verejnosti, vysoká účasť."
967,2024-06-30 18:10:00.000000,2024-06-30 18:53:01.000000,Neočakávané podujatie,Náhly výpadok elektriny,21,Z bezpečnostných dôvodov boli prijaté opatrenia.
968,2024-07-30 17:12:00.000000,2024-07-30 17:53:38.000000,Športové podujatie,Hokejový zápas finále ligy,3237,Nahlásené menšie technické problémy.
